Nuovo Codice Prestazione Catalogo,Nuova Descrizione Prestazione,Accesso,Numero Prestazioni Erogate,Descrizione Completa Prestazione,Frequenza Erogazione
6724,Rosolia Anticorpi Igg Avidity Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,6724  Rosolia Anticorpi Igg Avidity Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6725,Rosolia Anticorpi Igm Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,438,6725  Rosolia Anticorpi Igm Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6725,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,02Prestazioni Su Ricettario Diverso Da Ssn,60,6725  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  02Prestazioni Su Ricettario Diverso Da Ssn,Media
6728,Varicella Zoster Vzv Anticorpi Igg Sieroplasma Per Controllo Stato Immunitario,02Prestazioni Su Ricettario Diverso Da Ssn,153,6728  Varicella Zoster Vzv Anticorpi Igg Sieroplasma Per Controllo Stato Immunitario  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6729,Varicella Zoster Vzv Anticorpi Igm Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,139,6729  Varicella Zoster Vzv Anticorpi Igm Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6729,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,02Prestazioni Su Ricettario Diverso Da Ssn,12,6729  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  02Prestazioni Su Ricettario Diverso Da Ssn,Media
6750,Epatite B Virus Hbv Antigene Hbe Hbeag Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,165,6750  Epatite B Virus Hbv Antigene Hbe Hbeag Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6751,Virus Epatite B Hbv Anticorpi Hbsag,02Prestazioni Su Ricettario Diverso Da Ssn,88,6751  Virus Epatite B Hbv Anticorpi Hbsag  02Prestazioni Su Ricettario Diverso Da Ssn,Media
6751,Virus Epatite B Hbv Anticorpi Hbsag  Non Associabile A 91186 Virus Hbv Hbv Reflex,02Prestazioni Su Ricettario Diverso Da Ssn,13,6751  Virus Epatite B Hbv Anticorpi Hbsag  Non Associabile A 91186 Virus Hbv Hbv Reflex  02Prestazioni Su Ricettario Diverso Da Ssn,Media
6852,Epatite A Hav Anticorpi Igg Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,6852  Epatite A Hav Anticorpi Igg Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6853,,02Prestazioni Su Ricettario Diverso Da Ssn,12,6853    02Prestazioni Su Ricettario Diverso Da Ssn,Media
6853,Epatite A Hav Anticorpi Totali Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,137,6853  Epatite A Hav Anticorpi Totali Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6854,,02Prestazioni Su Ricettario Diverso Da Ssn,12,6854    02Prestazioni Su Ricettario Diverso Da Ssn,Media
6854,Epatite A Hav Anticorpi Igm Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,142,6854  Epatite A Hav Anticorpi Igm Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6855,Epatite B Hbv Dnapcr Qualiquantitativa Sangue,02Prestazioni Su Ricettario Diverso Da Ssn,11,6855  Epatite B Hbv Dnapcr Qualiquantitativa Sangue  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6855,Epatite B Hbv Dnapcr Qualiquantitativa Sieroplasmasangue,02Prestazioni Su Ricettario Diverso Da Ssn,122,6855  Epatite B Hbv Dnapcr Qualiquantitativa Sieroplasmasangue  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6856,Epatite B Hbv Dnasequenziamento Per Genotipizzazione Sieroplasmasangue,02Prestazioni Su Ricettario Diverso Da Ssn,1,6856  Epatite B Hbv Dnasequenziamento Per Genotipizzazione Sieroplasmasangue  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6858,Epatite B Hbv Anticorpi Anti Hbc Totali Hbcab Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,186,6858  Epatite B Hbv Anticorpi Anti Hbc Totali Hbcab Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6859,Epatite B Hbv Anticorpi Anti Hbc Igm Hbcab Igm Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,168,6859  Epatite B Hbv Anticorpi Anti Hbc Igm Hbcab Igm Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6860,Epatite B Virus Hbv Anticorpi Anti Hbe Hbeab Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,165,6860  Epatite B Virus Hbv Anticorpi Anti Hbe Hbeab Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6861,Epatite B Virus Hbv Anticorpi Anti Hbs Hbsab Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,244,6861  Epatite B Virus Hbv Anticorpi Anti Hbs Hbsab Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6864,,02Prestazioni Su Ricettario Diverso Da Ssn,12,6864    02Prestazioni Su Ricettario Diverso Da Ssn,Media
6864,Epatite C Hcv Rnapcr Qualiquantitativa Sangue,02Prestazioni Su Ricettario Diverso Da Ssn,120,6864  Epatite C Hcv Rnapcr Qualiquantitativa Sangue  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6865,Epatite C Hcv Anticorpi Totali Hcvab Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,2156,6865  Epatite C Hcv Anticorpi Totali Hcvab Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6865,Virus Epatite C Hcv Anticorpi Incluso Eventuale Immunoblotting Non Associabile A 91132 Virus Anticorpi Immunoblotting Saggio Di Conferma Nas,02Prestazioni Su Ricettario Diverso Da Ssn,238,6865  Virus Epatite C Hcv Anticorpi Incluso Eventuale Immunoblotting Non Associabile A 91132 Virus Anticorpi Immunoblotting Saggio Di Conferma Nas  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6866,Epatite C Virus Hcv Anticorpi Immunoblotting Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,5,6866  Epatite C Virus Hcv Anticorpi Immunoblotting Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6868,Epatite Delta Hdv Anticorpi Totali Hdvab Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,152,6868  Epatite Delta Hdv Anticorpi Totali Hdvab Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6869,,02Prestazioni Su Ricettario Diverso Da Ssn,12,6869    02Prestazioni Su Ricettario Diverso Da Ssn,Media
6869,Epatite Delta Hdv Anticorpi Igm Hdvab Igm Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,138,6869  Epatite Delta Hdv Anticorpi Igm Hdvab Igm Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6870,Epatite Delta Virus Hdv Antigene Hdvag Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,149,6870  Epatite Delta Virus Hdv Antigene Hdvag Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6871,Ebv Monotest Anticorpi Eterofili Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,6871  Ebv Monotest Anticorpi Eterofili Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6874,Hsv Tipo 1 Anticorpi Igg Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,153,6874  Hsv Tipo 1 Anticorpi Igg Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6877,Hsv Tipo 12 Anticorpi Igm Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,155,6877  Hsv Tipo 12 Anticorpi Igm Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6878,Hsv Tipo 2 Anticorpi Igg Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,154,6878  Hsv Tipo 2 Anticorpi Igg Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6887,Hiv 12 Test Combinato Anticorpi E Antigene P24 Combo Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1299,6887  Hiv 12 Test Combinato Anticorpi E Antigene P24 Combo Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6888,Hiv 12 Anticorpi Immunoblotting Nas Saggio Di Conferma Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,6888  Hiv 12 Anticorpi Immunoblotting Nas Saggio Di Conferma Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6899,Htlv 12 Anticorpi Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,12,6899  Htlv 12 Anticorpi Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Media
6899,Htlv 12 Anticorpi Totali Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,139,6899  Htlv 12 Anticorpi Totali Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6904,Papilloma Virus Hpv Genotipizzazione,02Prestazioni Su Ricettario Diverso Da Ssn,2,6904  Papilloma Virus Hpv Genotipizzazione  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6911,Analisi Del Dna Per Polimorfismo Con Reazione Polimerasica A Catena Digestione Enzimatica Ed Elettroforesi,02Prestazioni Su Ricettario Diverso Da Ssn,3,6911  Analisi Del Dna Per Polimorfismo Con Reazione Polimerasica A Catena Digestione Enzimatica Ed Elettroforesi  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6913,Analisi Di Mutazione Del Dna Con Reazione Polimerasica A Catena E Ibridazione Con Sonde Non Radiomarcate,02Prestazioni Su Ricettario Diverso Da Ssn,102,6913  Analisi Di Mutazione Del Dna Con Reazione Polimerasica A Catena E Ibridazione Con Sonde Non Radiomarcate  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6917,Analisi Di Segmenti Di Dna Mediante Sequenziamento Blocchi Di Circa 400 Bp,02Prestazioni Su Ricettario Diverso Da Ssn,22,6917  Analisi Di Segmenti Di Dna Mediante Sequenziamento Blocchi Di Circa 400 Bp  02Prestazioni Su Ricettario Diverso Da Ssn,Media
6920,Cariotipo Da Metafasi Di Liquido Amniotico1 Tecnica Di Bandeggio Risoluzione Non Inferiore Alle 320 Bande,02Prestazioni Su Ricettario Diverso Da Ssn,1,6920  Cariotipo Da Metafasi Di Liquido Amniotico1 Tecnica Di Bandeggio Risoluzione Non Inferiore Alle 320 Bande  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6921,Cariotipo Da Metafasi Linfocitarie1 Tecnica Di Bandeggio Risoluzione Non Inferiore Alle 320 Bande,02Prestazioni Su Ricettario Diverso Da Ssn,1,6921  Cariotipo Da Metafasi Linfocitarie1 Tecnica Di Bandeggio Risoluzione Non Inferiore Alle 320 Bande  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6926,Colorazione Aggiuntiva In Bande Bandeggio G,02Prestazioni Su Ricettario Diverso Da Ssn,1,6926  Colorazione Aggiuntiva In Bande Bandeggio G  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6929,Colorazione Aggiuntiva In Bande Bandeggio Q,02Prestazioni Su Ricettario Diverso Da Ssn,1,6929  Colorazione Aggiuntiva In Bande Bandeggio Q  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6933,Coltura Di Amniociti,02Prestazioni Su Ricettario Diverso Da Ssn,1,6933  Coltura Di Amniociti  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6939,Coltura Di Linfociti Periferici Con Pha O Altri Mitogeni,02Prestazioni Su Ricettario Diverso Da Ssn,2,6939  Coltura Di Linfociti Periferici Con Pha O Altri Mitogeni  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6945,Conservazione Di Campioni Di Dna O Di Rna,02Prestazioni Su Ricettario Diverso Da Ssn,2,6945  Conservazione Di Campioni Di Dna O Di Rna  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6949,Estrazione Di Dna Nucleare O Mitocondriale Da Sangue Periferico Tessuti Colture Cellulari Villi Coriali,02Prestazioni Su Ricettario Diverso Da Ssn,125,6949  Estrazione Di Dna Nucleare O Mitocondriale Da Sangue Periferico Tessuti Colture Cellulari Villi Coriali  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
6951,Ibridazione In Situ Fish Su Metafasi Nuclei Interfasici Tessuti Mediante Sequenze Genomiche In Yac,02Prestazioni Su Ricettario Diverso Da Ssn,6,6951  Ibridazione In Situ Fish Su Metafasi Nuclei Interfasici Tessuti Mediante Sequenze Genomiche In Yac  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6961,Es Citologico Cervicovaginale Convenzionale Pap Test,02Prestazioni Su Ricettario Diverso Da Ssn,1,6961  Es Citologico Cervicovaginale Convenzionale Pap Test  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6988,Es Citologico Da Agoaspirato Tiroide,02Prestazioni Su Ricettario Diverso Da Ssn,4,6988  Es Citologico Da Agoaspirato Tiroide  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
6A33,Posizionamento Catetere Venoso Centrale Cvc,02Prestazioni Su Ricettario Diverso Da Ssn,2,6A33  Posizionamento Catetere Venoso Centrale Cvc  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7073,Prelievo Di Sangue Venoso,02Prestazioni Su Ricettario Diverso Da Ssn,25298,7073  Prelievo Di Sangue Venoso  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
7090,Levetiracetam Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,7090  Levetiracetam Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7127,Identificazione Di Specificita Anti Hla Contro Pannello Linfocitario,02Prestazioni Su Ricettario Diverso Da Ssn,77,7127  Identificazione Di Specificita Anti Hla Contro Pannello Linfocitario  02Prestazioni Su Ricettario Diverso Da Ssn,Media
7130,,02Prestazioni Su Ricettario Diverso Da Ssn,6,7130    02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7130,Prova Di Compatibilita Sierologica Pretrapianto Citometrica Sangue,02Prestazioni Su Ricettario Diverso Da Ssn,65,7130  Prova Di Compatibilita Sierologica Pretrapianto Citometrica Sangue  02Prestazioni Su Ricettario Diverso Da Ssn,Media
7136,Prelievo Citologico,02Prestazioni Su Ricettario Diverso Da Ssn,83,7136  Prelievo Citologico  02Prestazioni Su Ricettario Diverso Da Ssn,Media
7137,Prelievo Di Sangue Arterioso,02Prestazioni Su Ricettario Diverso Da Ssn,20,7137  Prelievo Di Sangue Arterioso  02Prestazioni Su Ricettario Diverso Da Ssn,Media
7139,Prelievo Microbiologico,02Prestazioni Su Ricettario Diverso Da Ssn,589,7139  Prelievo Microbiologico  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
7141,Lamotrigina Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,7141  Lamotrigina Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7218,Antigene Carboidratico 125 Ca 125 Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,170,7218  Antigene Carboidratico 125 Ca 125 Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
7219,Antigene Hla B27,02Prestazioni Su Ricettario Diverso Da Ssn,1,7219  Antigene Hla B27  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7232,Esame Colturale Campioni  Biologici Diversi Nas Ricerca Completa Batteri E Lieviti Patogeni Se Positivo Incluso Identificazione E Antibiogramma Sui Patogeni,02Prestazioni Su Ricettario Diverso Da Ssn,2,7232  Esame Colturale Campioni  Biologici Diversi Nas Ricerca Completa Batteri E Lieviti Patogeni Se Positivo Incluso Identificazione E Antibiogramma Sui Patogeni  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7236,Batteri Aerobi E Lieviti Patogeni Materiale Da Drenaggio Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,5,7236  Batteri Aerobi E Lieviti Patogeni Materiale Da Drenaggio Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7240,Batteri Aerobi E Lieviti Patogeni Liquido Cistico Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,1,7240  Batteri Aerobi E Lieviti Patogeni Liquido Cistico Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7244,Batteri Aerobi E Lieviti Patogeni Liquido Sinoviale Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,10,7244  Batteri Aerobi E Lieviti Patogeni Liquido Sinoviale Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7245,Batteri Aerobi E Lieviti Patogeni Materiale Purulento Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,6,7245  Batteri Aerobi E Lieviti Patogeni Materiale Purulento Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7255,Batteri Aerobi E Lieviti Esame Colturale Tampone Cutaneo,02Prestazioni Su Ricettario Diverso Da Ssn,1,7255  Batteri Aerobi E Lieviti Esame Colturale Tampone Cutaneo  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7255,Batteri Aerobi E Lieviti Patogeni Tampone Cutaneo Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,6,7255  Batteri Aerobi E Lieviti Patogeni Tampone Cutaneo Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7257,Batteri Aerobi E Lieviti Esame Colturale Tampone Ferita,02Prestazioni Su Ricettario Diverso Da Ssn,8,7257  Batteri Aerobi E Lieviti Esame Colturale Tampone Ferita  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7257,Batteri Aerobi E Lieviti Patogeni Tampone Da Ferita Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,43,7257  Batteri Aerobi E Lieviti Patogeni Tampone Da Ferita Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Media
7260,Batteri Aerobi E Lieviti Patogeni Tampone Ulcera Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,2,7260  Batteri Aerobi E Lieviti Patogeni Tampone Ulcera Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7265,,02Prestazioni Su Ricettario Diverso Da Ssn,2,7265    02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7270,Batteri Anaerobi Materiale Da Drenaggio Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,5,7270  Batteri Anaerobi Materiale Da Drenaggio Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7280,Batteri Anaerobi Liquido Sinoviale Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,7,7280  Batteri Anaerobi Liquido Sinoviale Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7281,Batteri Anaerobi Materiale Purulento Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,6,7281  Batteri Anaerobi Materiale Purulento Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7284,,02Prestazioni Su Ricettario Diverso Da Ssn,3,7284    02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7284,Batteri Anaerobi Tampone Da Ferita Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,35,7284  Batteri Anaerobi Tampone Da Ferita Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Media
7286,Batteri Anaerobi Tampone Ulcera Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,2,7286  Batteri Anaerobi Tampone Ulcera Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7302,,02Prestazioni Su Ricettario Diverso Da Ssn,8,7302    02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7302,Batteri Aerobi E Lieviti Patogeni Tampone Vaginale Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,100,7302  Batteri Aerobi E Lieviti Patogeni Tampone Vaginale Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
7335,Calprotectina Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,7335  Calprotectina Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7370,Citrati Urina,02Prestazioni Su Ricettario Diverso Da Ssn,1,7370  Citrati Urina  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7407,Coxsackie Virus Anticorpi Igg Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,7407  Coxsackie Virus Anticorpi Igg Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7408,Coxsackie Virus Anticorpi Igm Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,7408  Coxsackie Virus Anticorpi Igm Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7433,,02Prestazioni Su Ricettario Diverso Da Ssn,1,7433    02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7434,,02Prestazioni Su Ricettario Diverso Da Ssn,9,7434    02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7434,Cytomegalovirus Cmv Dnapcr Qualiquantitativa Sangue,02Prestazioni Su Ricettario Diverso Da Ssn,91,7434  Cytomegalovirus Cmv Dnapcr Qualiquantitativa Sangue  02Prestazioni Su Ricettario Diverso Da Ssn,Media
7502,,02Prestazioni Su Ricettario Diverso Da Ssn,1,7502    02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7503,Epstein Barr Virus Ebv Dnapcr Qualiquantitativa Sangue,02Prestazioni Su Ricettario Diverso Da Ssn,2,7503  Epstein Barr Virus Ebv Dnapcr Qualiquantitativa Sangue  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7521,Epatite B Virus Hbv Antigene Hbs Hbsag Quantitativo Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,10,7521  Epatite B Virus Hbv Antigene Hbs Hbsag Quantitativo Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7523,Epatite C Hcv Anticorpi Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,14,7523  Epatite C Hcv Anticorpi Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Media
7523,Epatite C Hcv Anticorpi Igg Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,3,7523  Epatite C Hcv Anticorpi Igg Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7524,Epatite C Hcv Anticorpi Igm Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,150,7524  Epatite C Hcv Anticorpi Igm Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
7524,Virus Epatite C Hcv Anticorpi Incluso Eventuale Immunoblotting Non Associabile A 91132 Virus Anticorpi Immunoblotting Saggio Di Conferma Nas,02Prestazioni Su Ricettario Diverso Da Ssn,12,7524  Virus Epatite C Hcv Anticorpi Incluso Eventuale Immunoblotting Non Associabile A 91132 Virus Anticorpi Immunoblotting Saggio Di Conferma Nas  02Prestazioni Su Ricettario Diverso Da Ssn,Media
7527,Epatite Delta Virus Hdv Rnapcr Qualiquantitativa Sangue,02Prestazioni Su Ricettario Diverso Da Ssn,1,7527  Epatite Delta Virus Hdv Rnapcr Qualiquantitativa Sangue  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7593,Hhv Tipo 6 Dnapcr Qualiquantitativa Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,7593  Hhv Tipo 6 Dnapcr Qualiquantitativa Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7625,Hiv 1 Rnapcr Qualiquantitativa Sangue,02Prestazioni Su Ricettario Diverso Da Ssn,106,7625  Hiv 1 Rnapcr Qualiquantitativa Sangue  02Prestazioni Su Ricettario Diverso Da Ssn,Alta
7642,Hsv Tipo 12 Dnapcr Qualiquantitativa Tampone Vaginale,02Prestazioni Su Ricettario Diverso Da Ssn,1,7642  Hsv Tipo 12 Dnapcr Qualiquantitativa Tampone Vaginale  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7682,Ige Anti Rhev B 1 Latice K215 Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,7682  Ige Anti Rhev B 1 Latice K215 Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7683,Ige Anti Rhev B 11 Latice K224 Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,7683  Ige Anti Rhev B 11 Latice K224 Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7684,Ige Anti Rhev B 3 Latice K217 Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,7684  Ige Anti Rhev B 3 Latice K217 Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7685,Ige Anti Rhev B 5 Latice K218 Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,7685  Ige Anti Rhev B 5 Latice K218 Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7687,Ige Anti Rhev B 602 Latice K220 Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,7687  Ige Anti Rhev B 602 Latice K220 Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7688,Ige Anti Rhev B 8 Profilina Latice K221 Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,1,7688  Ige Anti Rhev B 8 Profilina Latice K221 Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7786,Lieviti Cute E Annessi Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,15,7786  Lieviti Cute E Annessi Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Media
7786,Miceti Ricerca In Materiali Biologici Diversi Incluso Esame Microscopico Ed Esame Colturale Se Positivo Incluso Identificazione,02Prestazioni Su Ricettario Diverso Da Ssn,4,7786  Miceti Ricerca In Materiali Biologici Diversi Incluso Esame Microscopico Ed Esame Colturale Se Positivo Incluso Identificazione  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7941,Noradrenalina Sieroplasma,02Prestazioni Su Ricettario Diverso Da Ssn,2,7941  Noradrenalina Sieroplasma  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7980,Parvovirus B19 Dnapcr Qualiquantitativa Sangue,02Prestazioni Su Ricettario Diverso Da Ssn,4,7980  Parvovirus B19 Dnapcr Qualiquantitativa Sangue  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7D22,Biopsia Renale Ecoguidata,02Prestazioni Su Ricettario Diverso Da Ssn,1,7D22  Biopsia Renale Ecoguidata  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7D61,Biopsia Prostatica Eco Guidata,02Prestazioni Su Ricettario Diverso Da Ssn,6,7D61  Biopsia Prostatica Eco Guidata  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
7G41,Agoaspirato Tiroide Eco Guidato,02Prestazioni Su Ricettario Diverso Da Ssn,6,7G41  Agoaspirato Tiroide Eco Guidato  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
8045,Streptococcus Agalactiae Tampone Vaginale Coltura,02Prestazioni Su Ricettario Diverso Da Ssn,2,8045  Streptococcus Agalactiae Tampone Vaginale Coltura  02Prestazioni Su Ricettario Diverso Da Ssn,Bassa
